,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Hawaii
6,Indiana
7,Iowa
8,Louisiana
9,Maryland
10,Massachusetts
11,Mississippi
12,Missouri
13,New Jersey
14,Oklahoma
15,Tennessee
